,City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
0,Mahibadhoo,3.7833,72.9667,82.47,76,33,17.05,MV,1630073589
1,Guerrero Negro,27.9769,-114.0611,74.23,75,6,3.04,MX,1630073439
2,Rikitea,-23.1203,-134.9692,72.84,71,3,16.82,PF,1630073589
3,Port Elizabeth,-33.918,25.5701,59.29,51,20,32.21,ZA,1630073590
4,Vaini,-21.2,-175.2,66.36,77,75,9.22,TO,1630073590
5,Busselton,-33.65,115.3333,51.08,75,89,5.35,AU,1630073590
6,Saint George,37.1041,-113.5841,82.54,23,1,0.0,US,1630073590
7,Kavieng,-2.5744,150.7967,81.48,78,96,10.85,PG,1630073591
8,Yellowknife,62.456,-114.3525,56.1,70,24,4.12,CA,1630073312
9,Bredasdorp,-34.5322,20.0403,53.28,62,10,17.4,ZA,1630073591
10,Khatanga,71.9667,102.5,39.47,85,100,22.19,RU,1630073591
11,Tessalit,20.1986,1.0114,105.78,13,66,7.94,ML,1630073592
12,Butaritari,3.0707,172.7902,82.63,73,37,12.41,KI,1630073592
13,Sorgun,39.8101,35.186,91.63,13,1,1.43,TR,1630073592
14,Saint-Philippe,-21.3585,55.7679,69.39,86,100,21.56,RE,1630073593
15,Mezen',65.8522,44.24,55.96,51,41,6.11,RU,1630073593
16,Yarmouth,41.7057,-70.2286,89.11,76,1,5.75,US,1630073593
17,Montorio al Vomano,42.5831,13.6383,83.07,60,67,1.32,IT,1630073594
18,Saskylakh,71.9167,114.0833,37.36,86,100,5.99,RU,1630073533
19,Hobart,-42.8794,147.3294,46.06,92,90,1.01,AU,1630073589
20,Mareeba,-17.0,145.4333,68.72,95,25,2.35,AU,1630073594
21,Ushuaia,-54.8,-68.3,40.62,65,13,7.11,AR,1630073595
22,Aklavik,68.2191,-135.0107,50.22,76,100,3.87,CA,1630073595
23,Castro,-24.7911,-50.0119,60.35,82,100,5.06,BR,1630073593
24,Hambantota,6.1241,81.1185,80.69,80,98,19.66,LK,1630073595
25,George Town,5.4112,100.3354,82.89,80,20,0.0,MY,1630073596
26,Ati,13.2154,18.3353,96.01,34,17,3.56,TD,1630073596
27,Cidreira,-30.1811,-50.2056,60.87,61,0,2.73,BR,1630073596
28,Barrow,71.2906,-156.7887,33.82,69,90,18.41,US,1630073597
29,Punta Arenas,-53.15,-70.9167,39.31,70,75,18.41,CL,1630073539
30,Porto-Novo,6.4965,2.6036,82.78,74,97,10.58,BJ,1630073597
