,City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
0,East London,-33.0153,27.9116,55.31,56,20,8.97,ZA,1630272832
1,Castro,-24.7911,-50.0119,55.22,95,87,6.31,BR,1630272806
2,Hong Kong,22.2855,114.1577,83.32,88,34,9.35,HK,1630272555
3,Mataura,-46.1927,168.8643,39.47,67,13,5.82,NZ,1630272784
4,Bosanska Krupa,44.8825,16.1514,49.6,94,47,3.44,BA,1630273016
5,Atuona,-9.8,-139.0333,77.07,75,12,19.71,PF,1630272819
6,Ponnāni,10.767,75.9252,70.92,91,100,8.37,IN,1630273017
7,Rocha,-34.4833,-54.3333,54.72,96,11,5.75,UY,1630273017
8,San Patricio,28.017,-97.5169,94.98,53,98,8.7,US,1630272826
9,Nuuk,64.1835,-51.7216,43.41,87,75,4.61,GL,1630273018
10,Port Alfred,-33.5906,26.891,56.37,56,75,10.94,ZA,1630272811
11,Yambio,4.5721,28.3955,67.96,89,100,3.27,SS,1630273018
12,Rikitea,-23.1203,-134.9692,73.76,70,1,16.42,PF,1630272788
13,Inírida,3.8653,-67.9239,72.14,98,100,5.06,CO,1630273018
14,Khatanga,71.9667,102.5,34.5,87,100,6.69,RU,1630272787
15,Barcelos,41.5388,-8.6151,69.28,93,100,1.66,PT,1630272949
16,Tuktoyaktuk,69.4541,-133.0374,50.0,76,75,3.44,CA,1630272833
17,Mandera,3.9366,41.867,77.54,51,69,20.42,KE,1630273019
18,Tiksi,71.6872,128.8694,37.53,98,100,12.97,RU,1630272800
19,Avarua,-21.2078,-159.775,75.25,60,99,16.11,CK,1630272813
20,Ilo,-17.6394,-71.3375,62.6,77,81,6.42,PE,1630273019
21,Międzychód,52.5988,15.897,54.66,94,91,2.93,PL,1630273020
22,Moose Factory,51.2585,-80.6094,69.78,94,90,6.91,CA,1630272860
23,Saint Paul Harbor,57.79,-152.4072,65.71,42,1,9.22,US,1630272789
24,Aklavik,68.2191,-135.0107,57.92,46,90,4.18,CA,1630272915
25,Albany,42.6001,-73.9662,79.54,79,76,7.72,US,1630272784
26,Puerto Ayora,-0.7393,-90.3518,70.56,89,58,5.01,EC,1630272832
27,Punta Arenas,-53.15,-70.9167,44.71,57,75,16.11,CL,1630272589
28,Busselton,-33.65,115.3333,56.05,73,100,18.81,AU,1630272977
29,Arraial do Cabo,-22.9661,-42.0278,71.56,83,40,8.05,BR,1630272833
30,Dhidhdhoo,6.8833,73.1,82.08,78,100,18.19,MV,1630272775
31,Coquimbo,-29.9533,-71.3436,56.93,76,75,9.22,CL,1630272814
32,Bluff,-46.6,168.3333,39.79,62,15,15.1,NZ,1630272796
33,Winnemucca,40.973,-117.7357,91.45,9,1,4.61,US,1630273021
34,Port Hardy,50.6996,-127.4199,62.78,59,40,11.5,CA,1630272632
35,Indramayu,-6.3264,108.32,77.9,77,100,8.48,ID,1630273021
36,Lorengau,-2.0226,147.2712,83.59,75,39,9.22,PG,1630272846
37,Dunedin,-45.8742,170.5036,42.8,70,64,7.14,NZ,1630272745
38,Hobart,-42.8794,147.3294,45.1,93,0,1.99,AU,1630272787
39,Ponta do Sol,32.6667,-17.1,75.83,79,46,6.62,PT,1630272877
40,North Myrtle Beach,33.816,-78.68,91.69,68,1,1.01,US,1630273022
41,Mayo,38.8876,-76.5119,84.74,77,1,1.01,US,1630272856
42,Mar del Plata,-38.0023,-57.5575,59.02,72,0,6.91,AR,1630272785
43,Bereda,43.2686,-7.5406,62.35,97,43,2.3,ES,1630272840
44,Tautira,-17.7333,-149.15,82.42,75,4,15.32,PF,1630273022
45,Saint-Augustin,51.226,-58.6502,62.06,72,100,5.17,CA,1630272797
46,Ushuaia,-54.8,-68.3,38.86,81,75,17.27,AR,1630272795
47,Kānt,27.8,79.8,74.86,95,98,8.41,IN,1630273023
48,Qaanaaq,77.484,-69.3632,34.7,94,100,2.44,GL,1630272836
49,Nabire,-3.3667,135.4833,77.36,87,98,2.37,ID,1630273023
50,Lüderitz,-26.6481,15.1594,55.11,54,0,9.93,NA,1630272835
51,Butaritari,3.0707,172.7902,84.11,67,20,16.51,KI,1630272781
52,Port Elizabeth,-33.918,25.5701,46.69,93,75,3.44,ZA,1630272708
53,Talnakh,69.4865,88.3972,40.23,97,100,11.68,RU,1630272897
54,Sambava,-14.2667,50.1667,69.94,91,4,6.8,MG,1630273024
55,Jamestown,42.097,-79.2353,81.52,82,1,5.99,US,1630272801
56,Machalí,-34.1833,-70.6667,72.68,35,0,10.36,CL,1630273024
57,Vardø,70.3705,31.1107,47.95,81,75,4.59,NO,1630272845
58,Gobabis,-22.45,18.9667,47.75,9,0,10.94,NA,1630273025
59,Tyup,42.7276,78.3648,54.86,46,16,3.2,KG,1630273025
60,Cidreira,-30.1811,-50.2056,61.52,83,0,19.39,BR,1630272877
61,Elko,41.0002,-115.5012,92.73,11,0,5.99,US,1630272995
62,Hofn,64.2539,-15.2082,54.84,77,100,11.56,IS,1630272918
63,Bud,39.447,-86.1758,91.38,66,30,7.49,US,1630273025
64,Ahualulco del Sonido Trece,22.4,-101.1667,66.02,53,100,8.14,MX,1630273026
65,Cherskiy,68.75,161.3,45.97,52,100,8.93,RU,1630272806
66,Bengkulu,-3.8004,102.2655,75.45,87,93,3.62,ID,1630272723
67,Great Falls,47.5002,-111.3008,80.67,23,1,10.36,US,1630272819
68,Yuanping,38.7153,112.7575,58.75,95,59,1.7,CN,1630273026
69,Karratha,-20.7377,116.8463,67.93,48,62,2.68,AU,1630272885
70,Mitsamiouli,-11.3847,43.2844,76.46,71,1,8.7,KM,1630272859
71,‘Ewa Beach,21.3156,-158.0072,85.95,56,1,11.5,US,1630272898
72,Nanortalik,60.1432,-45.2371,43.65,84,2,11.27,GL,1630272800
73,Upernavik,72.7868,-56.1549,37.06,87,99,2.71,GL,1630272803
74,Mahébourg,-20.4081,57.7,71.89,78,75,14.97,MU,1630272808
75,Dikson,73.5069,80.5464,37.99,94,100,21.14,RU,1630272825
76,Arica,-18.475,-70.3042,61.03,72,0,10.36,CL,1630272878
77,Batemans Bay,-35.7167,150.1833,43.92,84,9,4.27,AU,1630272946
78,Mil'kovo,54.7167,158.6167,55.96,93,100,3.53,RU,1630273027
79,Te Anau,-45.4167,167.7167,39.87,88,95,1.39,NZ,1630273028
80,Benalla,-36.55,145.9833,44.35,94,100,3.96,AU,1630273028
81,Hermanus,-34.4187,19.2345,49.89,68,96,11.68,ZA,1630273028
82,Teya,60.3778,92.6267,44.64,97,88,2.08,RU,1630273028
83,Belūr,13.1667,75.8667,65.48,97,100,7.4,IN,1630273029
84,Saskylakh,71.9167,114.0833,35.69,98,100,10.54,RU,1630272798
85,Abhar,36.1468,49.218,66.24,61,0,2.91,IR,1630273029
86,Margate,51.3813,1.3862,61.3,80,100,5.99,GB,1630272918
87,Marquette,46.5333,-87.6335,79.83,46,93,12.91,US,1630272871
88,Los Chiles,11.0333,-84.7167,87.08,61,91,7.72,CR,1630273030
89,Palu,-0.8917,119.8707,74.46,95,100,2.8,ID,1630273030
90,Vaini,-21.2,-175.2,75.36,83,75,9.22,TO,1630272802
91,Khartoum,15.5518,32.5324,87.19,50,33,16.91,SD,1630273030
92,José de Freitas,-4.7564,-42.5756,97.75,23,39,5.57,BR,1630273031
93,Montefiascone,42.5393,12.0362,62.47,55,0,3.94,IT,1630273031
94,Milyutinskaya,48.6279,41.6679,70.0,33,0,12.44,RU,1630273031
95,Okara,30.8081,73.4458,85.55,54,1,7.78,PK,1630272972
96,Sinnamary,5.3833,-52.95,79.86,84,100,12.93,GF,1630273032
97,New Norfolk,-42.7826,147.0587,44.74,89,95,2.95,AU,1630272796
98,Yellowknife,62.456,-114.3525,68.52,64,75,3.44,CA,1630272791
99,Maceió,-9.6658,-35.7353,76.44,88,75,4.61,BR,1630272855
100,Belle Fourche,44.6714,-103.8522,85.05,18,0,12.88,US,1630273032
101,Walvis Bay,-22.9575,14.5053,57.09,54,0,3.44,NA,1630272848
102,Kamaishi,39.2667,141.8833,74.25,70,92,3.78,JP,1630273033
103,Hithadhoo,-0.6,73.0833,81.64,74,83,6.33,MV,1630272804
104,Port Lincoln,-34.7333,135.8667,51.69,91,21,12.73,AU,1630272952
105,Kapaa,22.0752,-159.319,82.72,67,75,5.01,US,1630272785
106,Pisco,-13.7,-76.2167,66.25,68,0,8.05,PE,1630272856
107,Aitape,-3.1374,142.3475,79.79,87,26,7.02,PG,1630273033
108,Paamiut,61.994,-49.6678,44.58,79,57,7.87,GL,1630272938
109,Hobyo,5.3505,48.5268,76.71,78,80,26.02,SO,1630273034
110,Bay Roberts,47.5999,-53.2648,59.5,66,6,19.33,CA,1630273034
111,Carnarvon,-24.8667,113.6333,53.67,76,62,8.05,AU,1630272883
112,Nizhniy Kuranakh,58.8353,125.4869,48.18,76,4,2.93,RU,1630273034
113,Illela,13.7292,5.2975,86.72,49,68,1.28,NG,1630273035
114,Arlit,18.7369,7.3853,99.95,10,7,10.78,NE,1630273035
115,Malbork,54.0359,19.0266,62.26,97,100,3.44,PL,1630273035
116,Zhireken,52.8249,117.3076,49.75,92,0,0.43,RU,1630273036
